현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 18:07:55:41,게임 실행,게임 시작,0,1000,0,0,0
2024-04-16 18:07:55:91,강화,강화 성공,0,990,10,100,100
2024-04-16 18:07:56:23,강화,강화 성공,1,975,15,180,93
2024-04-16 18:07:56:46,강화,강화 성공,2,953,22,324,86
2024-04-16 18:07:56:67,강화,강화 성공,3,919,34,583,80
2024-04-16 18:07:56:87,강화,강화 성공,4,868,51,1050,75
2024-04-16 18:07:57:06,강화,강화 실패,5,792,76,1890,70
2024-04-16 18:07:57:23,강화,강화 성공,5,716,76,1890,70
2024-04-16 18:07:57:39,강화,강화 성공,6,602,114,3401,65
2024-04-16 18:07:57:56,강화,강화 성공,7,431,171,6122,60
2024-04-16 18:07:57:74,강화,강화 실패,8,175,256,11020,56
2024-04-16 18:07:57:91,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:08,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:25,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:42,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:59,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:75,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:58:92,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:59:22,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:59:39,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:59:54,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:59:70,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:07:59:87,강화,소지금 부족,8,175,256,11020,56
2024-04-16 18:08:00:02,강화,소지금 부족,8,175,256,11020,56
