시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 00:06:11:52,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 00:06:13:43,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 00:06:13:89,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 00:06:14:20,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-17 00:06:15:22,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-17 00:06:15:65,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-17 00:06:16:09,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-17 00:06:17:13,공격,실패,2,295,121,150,150,1,75.3571,1,1
2024-04-17 00:06:17:58,공격,성공,1,295,121,150,150,1,100,1,1
2024-04-17 00:06:17:86,공격,성공,1,294,151,180,180,1,91,1,1
2024-04-17 00:06:18:14,공격,성공,1,293,181,210,210,1,82.81,1,1
2024-04-17 00:06:18:42,공격,성공,1,292,211,240,240,1,75.3571,1,1
2024-04-17 00:06:18:67,공격,성공,1,291,241,270,270,1,68.574961,1,1
2024-04-17 00:06:19:06,공격,성공,1,290,271,300,300,1,62.40321451,1,1
2024-04-17 00:06:19:32,공격,성공,1,289,301,330,330,1,56.7869252041,1,1
2024-04-17 00:06:19:66,공격,성공,1,288,331,360,360,1,51.676101935731,1,1
2024-04-17 00:06:19:90,공격,성공,1,287,361,390,390,1,47.0252527615152,1,1
2024-04-17 00:06:20:10,공격,실패,1,286,391,420,420,1,42.7929800129789,1,1
2024-04-17 00:06:20:36,공격,다시하기,0,286,391,420,420,1,100,1,1
2024-04-17 00:06:21:87,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 00:06:22:04,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 00:06:22:27,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 00:06:22:51,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-17 00:06:22:84,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-17 00:06:23:23,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-17 00:06:23:67,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-17 00:06:23:88,공격,실패,2,294,151,180,180,1,75.3571,1,1
2024-04-17 00:06:24:26,공격,성공,1,294,151,180,180,1,100,1,1
2024-04-17 00:06:24:51,공격,성공,1,293,181,210,210,1,91,1,1
2024-04-17 00:06:24:80,공격,성공,1,292,211,240,240,1,82.81,1,1
2024-04-17 00:06:25:15,공격,성공,1,291,241,270,270,1,75.3571,1,1
2024-04-17 00:06:25:50,공격,성공,1,290,271,300,300,1,68.574961,1,1
2024-04-17 00:06:25:80,공격,성공,1,289,301,330,330,1,62.40321451,1,1
2024-04-17 00:06:26:12,공격,성공,1,288,331,360,360,1,56.7869252041,1,1
2024-04-17 00:06:26:43,공격,실패,1,287,361,390,390,1,51.676101935731,1,1
2024-04-17 00:06:29:38,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-17 00:06:30:12,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-17 00:06:30:58,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-17 00:06:30:84,공격력 강화,실패,3,300,0,0,0,1,100,1,1
