시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-16 23:17:14:23,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:17:14:89,공격,성공,3,299,0,30,30,1,94,1,1
2024-04-16 23:17:15:38,공격,실패,3,298,0,60,60,1,88.36,1,1
2024-04-16 23:17:17:54,공격력 강화,성공,2,298,0,60,60,1,88.36,1,1
2024-04-16 23:17:18:13,공격,성공,2,298,0,40,60,2,88.36,2,1
2024-04-16 23:17:18:81,공격력 강화,성공,2,296,0,70,90,2,83.0584,2,1
2024-04-16 23:17:19:12,공격력 강화,실패,2,296,0,40,90,8,83.0584,3,1
2024-04-16 23:17:19:82,정확도 강화,성공,2,296,0,40,90,8,83.0584,3,1
2024-04-16 23:17:20:69,정확도 강화,성공,2,296,0,25,90,8,88.0584,3,2
2024-04-16 23:17:21:21,공격,실패,2,296,0,2,90,8,94.0584,3,3
2024-04-16 23:17:21:67,공격,성공,1,296,0,2,90,8,94.0584,3,3
2024-04-16 23:17:22:16,공격,실패,1,288,0,32,120,8,88.414896,3,3
2024-04-16 23:17:22:88,공격,게임 오버,0,288,0,32,120,8,88.414896,3,3
2024-04-16 23:17:23:81,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:17:24:82,공격,성공,3,299,0,30,30,1,94,1,1
2024-04-16 23:17:26:68,공격력 강화,성공,3,298,0,60,60,1,88.36,1,1
2024-04-16 23:17:26:82,공격력 강화,성공,3,298,0,40,60,2,88.36,2,1
2024-04-16 23:17:27:46,공격,성공,3,298,0,10,60,8,88.36,3,1
2024-04-16 23:17:28:85,정확도 강화,성공,3,290,0,40,90,8,83.0584,3,1
2024-04-16 23:17:29:41,공격,성공,3,290,0,25,90,8,88.0584,3,2
2024-04-16 23:17:30:52,공격력 강화,성공,3,282,0,55,120,8,82.774896,3,2
2024-04-16 23:17:30:91,공격,실패,3,282,0,10,120,15,82.774896,4,2
2024-04-16 23:17:31:46,공격,성공,2,282,0,10,120,15,82.774896,4,2
2024-04-16 23:17:32:43,정확도 강화,성공,2,267,0,40,150,15,77.80840224,4,2
2024-04-16 23:17:32:76,정확도 강화,실패,2,267,0,17,150,15,83.80840224,4,3
2024-04-16 23:17:33:73,공격,성공,2,267,0,17,150,15,83.80840224,4,3
2024-04-16 23:17:34:91,정확도 강화,성공,2,252,0,47,180,15,78.7798981056,4,3
2024-04-16 23:17:35:74,공격,성공,2,252,0,12,180,15,85.7798981056,4,4
2024-04-16 23:17:37:06,공격,성공,2,237,0,42,210,15,80.633104219264,4,4
2024-04-16 23:17:37:75,공격력 강화,성공,2,222,0,72,240,15,75.7951179661081,4,4
2024-04-16 23:17:38:83,공격,성공,2,222,0,7,240,23,75.7951179661081,5,4
2024-04-16 23:17:39:32,공격,성공,2,199,0,37,270,23,71.2474108881416,5,4
2024-04-16 23:17:40:32,공격력 강화,실패,2,176,0,67,300,23,66.9725662348531,5,4
2024-04-16 23:17:44:91,정확도 강화,성공,2,176,0,67,300,23,66.9725662348531,5,4
2024-04-16 23:17:45:38,공격,성공,2,176,0,16,300,23,74.9725662348531,5,5
2024-04-16 23:17:47:24,공격,성공,2,153,0,46,330,23,70.4742122607619,5,5
2024-04-16 23:17:49:85,정확도 강화,성공,2,130,0,76,360,23,66.2457595251162,5,5
2024-04-16 23:17:50:36,공격,성공,2,130,0,5,360,23,75.2457595251162,5,6
2024-04-16 23:17:51:79,공격,성공,2,107,0,35,390,23,70.7310139536092,5,6
2024-04-16 23:17:53:06,공격,실패,2,84,0,65,420,23,66.4871531163927,5,6
2024-04-16 23:17:55:86,공격,성공,1,84,0,65,420,23,66.4871531163927,5,6
2024-04-16 23:17:57:05,정확도 강화,성공,1,61,0,95,450,23,62.4979239294091,5,6
2024-04-16 23:17:58:12,공격,성공,1,61,0,0,450,23,72.4979239294091,5,7
2024-04-16 23:17:59:20,공격,성공,1,38,0,30,480,23,68.1480484936446,5,7
2024-04-16 23:18:00:89,정확도 강화,실패,1,15,0,60,510,23,64.0591655840259,5,7
2024-04-16 23:18:01:22,공격력 강화,실패,1,15,0,60,510,23,64.0591655840259,5,7
2024-04-16 23:18:01:93,공격,성공,1,15,0,60,510,23,64.0591655840259,5,7
