시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-05-08 20:37:32:59,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-05-08 20:37:35:54,공격,성공,3,300,0,0,0,1,100,1,1
2024-05-08 20:37:35:69,공격,성공,3,299,1,30,30,1,91,1,1
2024-05-08 20:37:35:85,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-05-08 20:37:35:99,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-05-08 20:37:36:13,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-05-08 20:37:36:27,공격,실패,3,295,121,150,150,1,62.40321451,1,1
2024-05-08 20:38:27:79,공격력 강화,성공,2,295,121,150,150,1,100,1,1
2024-05-08 20:38:28:16,정확도 강화,성공,2,295,121,130,150,2,100,2,1
2024-05-08 20:38:31:04,공격력 강화,성공,2,295,121,115,150,2,105,2,2
2024-05-08 20:38:31:18,공격력 강화,성공,2,295,121,85,150,8,105,3,2
2024-05-08 20:38:31:34,공격력 강화,실패,2,295,121,40,150,15,105,4,2
2024-05-08 20:38:31:50,공격력 강화,실패,2,295,121,40,150,15,105,4,2
2024-05-08 20:38:33:86,정확도 강화,성공,2,295,121,40,150,15,105,4,2
2024-05-08 20:38:34:33,공격,성공,2,295,121,17,150,15,111,4,3
2024-05-08 20:38:43:34,공격력 강화,실패,2,280,32,47,180,15,101.01,4,3
2024-05-08 20:38:43:75,정확도 강화,성공,2,280,32,47,180,15,101.01,4,3
2024-05-08 20:38:44:09,정확도 강화,실패,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:44:59,공격력 강화,실패,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:44:94,공격력 강화,실패,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:54:35,공격력 강화,실패,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:54:79,공격력 강화,실패,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:56:32,공격,성공,2,280,32,12,180,15,108.01,4,4
2024-05-08 20:38:56:72,공격,성공,2,265,27,42,210,15,98.2891,4,4
2024-05-08 20:38:57:96,공격력 강화,성공,2,250,57,72,240,15,89.443081,4,4
2024-05-08 20:38:59:24,공격,성공,2,250,57,7,240,23,89.443081,5,4
