현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 17:47:45:15,게임 실행,게임 시작,1,1000,0,0,0
2024-04-16 17:47:46:01,강화,강화 성공,1,990,10,100,100
2024-04-16 17:47:46:19,강화,강화 성공,2,975,15,180,93
2024-04-16 17:47:46:36,강화,강화 실패,3,953,22,324,86
2024-04-16 17:47:46:52,강화,강화 성공,1,943,10,100,100
2024-04-16 17:47:46:68,강화,강화 성공,2,928,15,180,93
2024-04-16 17:47:46:85,강화,강화 성공,3,906,22,324,86
2024-04-16 17:47:47:02,강화,강화 성공,4,872,34,583,80
2024-04-16 17:47:47:19,강화,강화 성공,5,821,51,1050,75
2024-04-16 17:47:47:36,강화,강화 실패,6,745,76,1890,70
2024-04-16 17:47:47:76,판매,판매,1,745,10,100,100
2024-04-16 17:47:48:49,강화,강화 성공,1,835,10,100,100
2024-04-16 17:47:48:65,강화,강화 성공,2,820,15,180,93
2024-04-16 17:47:48:82,강화,강화 성공,3,798,22,324,86
2024-04-16 17:47:48:97,강화,강화 성공,4,764,34,583,80
2024-04-16 17:47:49:28,판매,판매,5,764,51,1050,75
