현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 17:51:51:22,게임 실행,게임 시작,1,1000,0,0,0
2024-04-16 17:51:52:31,강화,강화 성공,1,990,10,100,100
2024-04-16 17:51:52:64,강화,강화 성공,2,975,15,180,93
2024-04-16 17:51:53:01,강화,강화 성공,3,953,22,324,86
2024-04-16 17:51:53:28,강화,강화 실패,4,919,34,583,80
2024-04-16 17:51:53:49,강화,강화 성공,1,909,10,100,100
2024-04-16 17:51:53:73,강화,강화 성공,2,894,15,180,93
2024-04-16 17:51:54:66,강화,강화 성공,3,872,22,324,86
2024-04-16 17:51:55:25,판매,판매,4,872,34,583,80
2024-04-16 17:51:56:20,강화,강화 성공,1,1445,10,100,100
2024-04-16 17:51:56:35,강화,강화 성공,2,1430,15,180,93
2024-04-16 17:51:56:50,강화,강화 성공,3,1408,22,324,86
2024-04-16 17:51:56:79,판매,판매,4,1408,34,583,80
2024-04-16 17:51:57:92,종료,게임 종료,1,1991,10,100,100
