시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-16 23:46:48:46,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-16 23:46:49:91,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:46:50:04,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-16 23:46:50:17,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-16 23:46:50:30,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-16 23:46:50:41,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-16 23:46:50:53,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-16 23:46:50:66,공격,실패,2,295,121,150,150,1,82.81,1,1
2024-04-16 23:46:50:78,공격,성공,1,295,121,150,150,1,100,1,1
2024-04-16 23:46:51:13,공격,성공,1,294,151,180,180,1,91,1,1
2024-04-16 23:46:51:52,공격,실패,1,293,181,210,210,1,82.81,1,1
2024-04-16 23:46:52:39,공격,게임 오버,0,293,181,210,210,1,100,1,1
2024-04-16 23:47:09:06,공격,게임 오버,0,293,181,210,210,1,100,1,1
2024-04-16 23:47:10:38,공격,게임 오버,0,293,181,210,210,1,100,1,1
2024-04-16 23:47:10:82,공격,게임 오버,0,293,181,210,210,1,100,1,1
2024-04-16 23:47:11:00,공격,게임 오버,0,293,181,210,210,1,100,1,1
2024-04-16 23:47:12:98,종료,게임 종료,0,293,181,210,210,1,100,1,1
