현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 18:02:52:15,게임 실행,게임 시작,0,1000,0,0,0
2024-04-16 18:02:53:45,판매,판매,0,1000,10,100,100
2024-04-16 18:02:53:97,강화,강화 성공,0,1090,10,100,100
2024-04-16 18:02:54:44,판매,판매,1,1090,15,180,93
2024-04-16 18:02:54:79,강화,강화 성공,0,1260,10,100,100
2024-04-16 18:02:55:06,판매,판매,1,1260,15,180,93
2024-04-16 18:02:55:36,강화,강화 성공,0,1430,10,100,100
2024-04-16 18:02:55:59,판매,판매,1,1430,15,180,93
2024-04-16 18:02:55:85,강화,강화 성공,0,1600,10,100,100
2024-04-16 18:02:56:09,판매,판매,1,1600,15,180,93
2024-04-16 18:02:56:44,강화,강화 성공,0,1770,10,100,100
2024-04-16 18:02:57:11,강화,강화 성공,1,1755,15,180,93
