시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 01:37:41:27,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 01:37:43:24,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 01:37:43:49,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 01:37:43:69,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 01:37:43:89,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-17 01:37:44:12,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-17 01:37:44:34,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-17 01:37:44:55,공격,성공,3,294,151,180,180,1,56.7869252041,1,1
2024-04-17 01:37:44:78,공격,성공,3,293,181,210,210,1,51.676101935731,1,1
2024-04-17 01:37:44:99,공격,실패,3,292,211,240,240,1,47.0252527615152,1,1
2024-04-17 01:37:45:20,공격,성공,2,292,211,240,240,1,100,1,1
2024-04-17 01:37:45:46,공격,성공,2,291,241,270,270,1,91,1,1
2024-04-17 01:37:45:65,공격,성공,2,290,271,300,300,1,82.81,1,1
2024-04-17 01:37:45:85,공격,성공,2,289,301,330,330,1,75.3571,1,1
2024-04-17 01:37:46:05,공격,성공,2,288,331,360,360,1,68.574961,1,1
2024-04-17 01:37:46:26,공격,실패,2,287,361,390,390,1,62.40321451,1,1
2024-04-17 01:37:46:45,공격,성공,1,287,361,390,390,1,100,1,1
2024-04-17 01:37:46:67,공격,성공,1,286,391,420,420,1,91,1,1
2024-04-17 01:37:46:86,공격,성공,1,285,421,450,450,1,82.81,1,1
2024-04-17 01:37:47:06,공격,성공,1,284,451,480,480,1,75.3571,1,1
2024-04-17 01:37:47:28,공격,성공,1,283,481,510,510,1,68.574961,1,1
2024-04-17 01:37:47:53,공격,성공,1,282,511,540,540,1,62.40321451,1,1
2024-04-17 01:37:47:86,공격,성공,1,281,541,570,570,1,56.7869252041,1,1
2024-04-17 01:37:48:12,공격,실패,1,280,571,600,600,1,51.676101935731,1,1
2024-04-17 01:37:48:37,공격,다시하기,0,280,571,600,600,1,100,1,1
2024-04-17 01:37:49:00,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 01:37:49:18,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 01:37:49:36,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-17 01:37:49:53,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-17 01:37:49:71,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-17 01:37:49:92,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-17 01:37:50:29,공격,성공,2,295,121,150,150,1,75.3571,1,1
2024-04-17 01:37:50:47,공격,성공,2,294,151,180,180,1,68.574961,1,1
2024-04-17 01:37:50:65,공격,성공,2,293,181,210,210,1,62.40321451,1,1
2024-04-17 01:37:50:87,공격,성공,2,292,211,240,240,1,56.7869252041,1,1
2024-04-17 01:37:51:03,공격,실패,2,291,241,270,270,1,51.676101935731,1,1
2024-04-17 01:37:51:47,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-17 01:37:51:64,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-17 01:37:51:82,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-17 01:37:52:01,공격,실패,1,288,331,360,360,1,75.3571,1,1
2024-04-17 01:37:52:30,공격,다시하기,0,288,331,360,360,1,100,1,1
