시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 00:54:24:16,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 00:54:25:38,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 00:54:25:86,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 00:54:26:05,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 00:54:26:22,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 00:54:27:27,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 00:54:27:67,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 00:54:28:15,공격력 강화,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 00:54:28:59,공격력 강화,성공,3,298,31,40,60,2,82.81,2,1
2024-04-18 00:54:28:96,공격력 강화,실패,3,298,31,10,60,8,82.81,3,1
2024-04-18 00:54:29:48,공격력 강화,실패,3,298,31,10,60,8,82.81,3,1
2024-04-18 00:54:30:52,공격,성공,3,298,31,10,60,8,82.81,3,1
2024-04-18 00:54:30:86,공격,실패,3,290,18,40,90,8,75.3571,3,1
2024-04-18 00:54:31:65,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:31:92,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:32:47,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:32:64,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:32:83,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:33:02,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:33:18,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:33:78,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:33:98,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:34:41,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:34:80,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:38:28,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:38:62,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:38:94,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:39:26,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:39:59,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:40:35,공격력 강화,실패,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:40:74,정확도 강화,성공,2,290,18,40,90,8,100,3,1
2024-04-18 00:54:41:55,공격력 강화,실패,2,290,18,25,90,8,105,3,2
2024-04-18 00:54:41:98,정확도 강화,성공,2,290,18,25,90,8,105,3,2
2024-04-18 00:54:42:40,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:42:81,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:43:29,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:43:68,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:44:18,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:44:63,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:44:87,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:45:28,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:45:68,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:46:42,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:46:91,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:47:34,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:47:90,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:48:33,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:48:72,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:49:09,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:49:88,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:50:28,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:50:65,정확도 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:51:03,공격력 강화,실패,2,290,18,2,90,8,111,3,3
2024-04-18 00:54:51:48,정확도 강화,실패,2,290,18,2,90,8,111,3,3
