시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 01:03:04:62,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 01:03:10:80,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:11:13,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:11:51,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:11:85,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:12:16,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:12:59,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:12:96,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:13:32,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:13:62,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:13:89,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:14:14,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:14:44,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:14:70,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:15:00,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:15:29,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:15:56,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:15:80,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:16:07,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:16:36,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:16:66,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:16:92,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:17:22,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:17:47,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:17:75,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:18:01,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:18:29,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:18:58,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:18:85,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:19:11,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:19:38,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:19:67,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:19:94,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:20:27,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:20:55,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:20:85,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:21:14,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:21:44,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:21:71,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:21:99,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:24:30,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:24:53,정확도 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:30:07,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 01:03:30:86,공격력 강화,성공,3,299,1,30,30,1,91,1,1
2024-04-18 01:03:33:14,공격,성공,3,299,1,10,30,2,91,2,1
2024-04-18 01:03:33:83,공격력 강화,성공,3,297,12,40,60,2,82.81,2,1
2024-04-18 01:03:34:21,공격력 강화,실패,3,297,12,10,60,8,82.81,3,1
2024-04-18 01:03:36:49,공격,성공,3,297,12,10,60,8,82.81,3,1
2024-04-18 01:03:37:14,공격력 강화,실패,3,289,18,40,90,8,75.3571,3,1
2024-04-18 01:03:37:61,공격력 강화,실패,3,289,18,40,90,8,75.3571,3,1
2024-04-18 01:03:37:91,공격력 강화,실패,3,289,18,40,90,8,75.3571,3,1
