시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-05-08 20:26:27:92,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-05-08 20:26:32:10,공격,성공,3,300,0,0,0,1,100,1,1
2024-05-08 20:26:32:40,공격,성공,3,299,1,30,30,1,91,1,1
2024-05-08 20:26:32:56,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-05-08 20:26:33:09,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-05-08 20:26:33:25,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-05-08 20:26:33:44,공격,성공,2,296,91,120,120,1,100,1,1
2024-05-08 20:26:33:66,공격,성공,2,295,121,150,150,1,91,1,1
2024-05-08 20:26:34:02,공격,실패,2,294,151,180,180,1,82.81,1,1
2024-05-08 20:26:34:42,공격,성공,1,294,151,180,180,1,100,1,1
2024-05-08 20:26:34:90,공격,성공,1,293,181,210,210,1,91,1,1
2024-05-08 20:26:35:37,공격,성공,1,292,211,240,240,1,82.81,1,1
2024-05-08 20:26:35:97,공격,실패,1,291,241,270,270,1,75.3571,1,1
