시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 03:32:22:69,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 03:32:23:70,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:32:24:14,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:32:24:50,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:32:24:87,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:32:25:24,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-18 03:32:25:59,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-18 03:32:25:98,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-18 03:32:26:42,공격,성공,2,294,151,180,180,1,75.3571,1,1
2024-04-18 03:32:26:84,공격,성공,2,293,181,210,210,1,68.574961,1,1
2024-04-18 03:32:27:26,공격,실패,2,292,211,240,240,1,62.40321451,1,1
2024-04-18 03:32:27:64,공격,성공,1,292,211,240,240,1,100,1,1
2024-04-18 03:32:28:09,공격,성공,1,291,241,270,270,1,91,1,1
2024-04-18 03:32:28:53,공격,성공,1,290,271,300,300,1,82.81,1,1
2024-04-18 03:32:28:95,공격,성공,1,289,301,330,330,1,75.3571,1,1
2024-04-18 03:32:39:95,공격,실패,1,288,331,360,360,1,68.574961,1,1
2024-04-18 03:32:40:28,공격,다시하기,0,288,331,360,360,1,100,1,1
2024-04-18 03:32:40:63,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:32:40:88,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:32:41:09,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:32:41:29,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:32:41:49,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-04-18 03:32:41:69,공격,성공,2,296,91,120,120,1,100,1,1
2024-04-18 03:32:41:90,공격,성공,2,295,121,150,150,1,91,1,1
2024-04-18 03:32:42:10,공격,실패,2,294,151,180,180,1,82.81,1,1
2024-04-18 03:32:42:29,공격,성공,1,294,151,180,180,1,100,1,1
2024-04-18 03:32:42:50,공격,실패,1,293,181,210,210,1,91,1,1
2024-04-18 03:32:42:69,공격,다시하기,0,293,181,210,210,1,100,1,1
2024-04-18 03:32:42:91,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:32:43:09,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:32:43:29,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:32:43:48,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:32:43:68,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 03:32:43:89,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 03:32:44:10,공격,성공,3,294,151,180,180,1,56.7869252041,1,1
2024-04-18 03:32:44:31,공격,실패,3,293,181,210,210,1,51.676101935731,1,1
2024-04-18 03:32:44:50,공격,성공,2,293,181,210,210,1,100,1,1
2024-04-18 03:32:44:70,공격,성공,2,292,211,240,240,1,91,1,1
2024-04-18 03:32:44:87,공격,성공,2,291,241,270,270,1,82.81,1,1
2024-04-18 03:32:45:05,공격,실패,2,290,271,300,300,1,75.3571,1,1
