시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:01:30:10,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:01:31:04,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:01:31:77,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:01:32:59,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:01:33:32,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:01:34:23,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:01:35:04,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:01:35:57,공격,성공,3,294,151,180,180,1,56.7869252041,1,1
2024-04-18 02:01:36:20,공격,성공,3,293,181,210,210,1,51.676101935731,1,1
2024-04-18 02:01:36:70,공격,성공,3,292,211,240,240,1,47.0252527615152,1,1
2024-04-18 02:01:37:16,공격,실패,3,291,241,270,270,1,42.7929800129789,1,1
2024-04-18 02:01:37:61,공격,성공,2,291,241,270,270,1,100,1,1
2024-04-18 02:01:38:10,공격,성공,2,290,271,300,300,1,91,1,1
2024-04-18 02:01:38:55,공격,성공,2,289,301,330,330,1,82.81,1,1
2024-04-18 02:01:39:00,공격,성공,2,288,331,360,360,1,75.3571,1,1
2024-04-18 02:01:39:48,공격,성공,2,287,361,390,390,1,68.574961,1,1
2024-04-18 02:01:39:90,공격,실패,2,286,391,420,420,1,62.40321451,1,1
2024-04-18 02:01:40:25,공격,성공,1,286,391,420,420,1,100,1,1
2024-04-18 02:01:40:73,공격,성공,1,285,421,450,450,1,91,1,1
2024-04-18 02:01:41:20,공격,성공,1,284,451,480,480,1,82.81,1,1
2024-04-18 02:01:41:64,공격,실패,1,283,481,510,510,1,75.3571,1,1
2024-04-18 02:01:42:15,공격,다시하기,0,283,481,510,510,1,100,1,1
2024-04-18 02:01:42:54,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:01:42:90,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:01:43:28,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:01:43:67,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:01:44:07,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:01:44:49,공격,성공,2,296,91,120,120,1,100,1,1
2024-04-18 02:01:44:95,공격,성공,2,295,121,150,150,1,91,1,1
2024-04-18 02:01:45:41,공격,실패,2,294,151,180,180,1,82.81,1,1
2024-04-18 02:01:45:79,공격,성공,1,294,151,180,180,1,100,1,1
2024-04-18 02:01:46:37,공격,성공,1,293,181,210,210,1,91,1,1
2024-04-18 02:01:46:90,공격,실패,1,292,211,240,240,1,82.81,1,1
2024-04-18 02:01:47:56,공격,다시하기,0,292,211,240,240,1,100,1,1
2024-04-18 02:01:47:89,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:01:48:08,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:01:48:25,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:01:48:43,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:01:48:60,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:01:48:76,공격,실패,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:01:48:93,공격,성공,2,295,121,150,150,1,100,1,1
2024-04-18 02:01:49:30,공격,성공,2,294,151,180,180,1,91,1,1
2024-04-18 02:01:49:48,공격,성공,2,293,181,210,210,1,82.81,1,1
2024-04-18 02:01:49:65,공격,성공,2,292,211,240,240,1,75.3571,1,1
2024-04-18 02:01:49:81,공격,성공,2,291,241,270,270,1,68.574961,1,1
2024-04-18 02:01:49:98,공격,실패,2,290,271,300,300,1,62.40321451,1,1
2024-04-18 02:01:50:15,공격,성공,1,290,271,300,300,1,100,1,1
2024-04-18 02:01:50:32,공격,성공,1,289,301,330,330,1,91,1,1
2024-04-18 02:01:50:71,공격,실패,1,288,331,360,360,1,82.81,1,1
2024-04-18 02:01:50:91,공격,다시하기,0,288,331,360,360,1,100,1,1
2024-04-18 02:01:51:19,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:01:51:38,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:01:51:60,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:01:51:78,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 02:01:51:98,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-18 02:01:52:32,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-18 02:01:52:50,공격,실패,2,295,121,150,150,1,75.3571,1,1
2024-04-18 02:01:52:70,공격,성공,1,295,121,150,150,1,100,1,1
2024-04-18 02:01:52:89,공격,성공,1,294,151,180,180,1,91,1,1
2024-04-18 02:01:53:07,공격,성공,1,293,181,210,210,1,82.81,1,1
2024-04-18 02:01:53:24,공격,성공,1,292,211,240,240,1,75.3571,1,1
2024-04-18 02:01:53:43,공격,성공,1,291,241,270,270,1,68.574961,1,1
2024-04-18 02:01:53:78,공격,성공,1,290,271,300,300,1,62.40321451,1,1
2024-04-18 02:01:53:95,공격,실패,1,289,301,330,330,1,56.7869252041,1,1
2024-04-18 02:01:54:14,공격,다시하기,0,289,301,330,330,1,100,1,1
2024-04-18 02:01:54:47,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:01:54:64,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:01:54:81,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:01:54:98,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:01:55:16,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-18 02:01:55:33,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-18 02:01:55:51,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-18 02:01:55:68,공격,성공,2,294,151,180,180,1,75.3571,1,1
2024-04-18 02:01:55:85,공격,성공,2,293,181,210,210,1,68.574961,1,1
2024-04-18 02:01:56:02,공격,성공,2,292,211,240,240,1,62.40321451,1,1
2024-04-18 02:01:56:19,공격,성공,2,291,241,270,270,1,56.7869252041,1,1
2024-04-18 02:01:56:36,공격,성공,2,290,271,300,300,1,51.676101935731,1,1
2024-04-18 02:01:56:53,공격,성공,2,289,301,330,330,1,47.0252527615152,1,1
2024-04-18 02:01:56:69,공격,실패,2,288,331,360,360,1,42.7929800129789,1,1
2024-04-18 02:01:56:85,공격,성공,1,288,331,360,360,1,100,1,1
