시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 03:33:52:25,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 03:33:52:72,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:33:53:01,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:33:53:33,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:33:53:66,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:33:54:06,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 03:33:54:46,공격,실패,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 03:33:54:84,공격,성공,2,295,121,150,150,1,100,1,1
2024-04-18 03:33:55:25,공격,성공,2,294,151,180,180,1,91,1,1
2024-04-18 03:33:55:66,공격,성공,2,293,181,210,210,1,82.81,1,1
2024-04-18 03:33:56:06,공격,성공,2,292,211,240,240,1,75.3571,1,1
2024-04-18 03:33:56:46,공격,성공,2,291,241,270,270,1,68.574961,1,1
2024-04-18 03:33:56:84,공격,성공,2,290,271,300,300,1,62.40321451,1,1
2024-04-18 03:33:57:23,공격,성공,2,289,301,330,330,1,56.7869252041,1,1
2024-04-18 03:33:57:66,공격,실패,2,288,331,360,360,1,51.676101935731,1,1
2024-04-18 03:33:58:03,공격,성공,1,288,331,360,360,1,100,1,1
2024-04-18 03:33:58:44,공격,성공,1,287,361,390,390,1,91,1,1
2024-04-18 03:33:58:82,공격,성공,1,286,391,420,420,1,82.81,1,1
2024-04-18 03:34:20:62,공격,성공,1,285,421,450,450,1,75.3571,1,1
2024-04-18 03:34:20:97,공격,성공,1,284,451,480,480,1,68.574961,1,1
2024-04-18 03:34:21:31,공격,성공,1,283,481,510,510,1,62.40321451,1,1
2024-04-18 03:34:21:66,공격,성공,1,282,511,540,540,1,56.7869252041,1,1
2024-04-18 03:34:22:03,공격,성공,1,281,541,570,570,1,51.676101935731,1,1
2024-04-18 03:34:22:40,공격,실패,1,280,571,600,600,1,47.0252527615152,1,1
2024-04-18 03:34:22:80,공격,다시하기,0,280,571,600,600,1,100,1,1
2024-04-18 03:34:23:10,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:34:23:43,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:34:23:75,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:34:24:06,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 03:34:24:41,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-18 03:34:24:81,공격,실패,2,296,91,120,120,1,82.81,1,1
2024-04-18 03:34:25:16,공격,성공,1,296,91,120,120,1,100,1,1
2024-04-18 03:34:25:56,공격,성공,1,295,121,150,150,1,91,1,1
2024-04-18 03:34:25:91,공격,성공,1,294,151,180,180,1,82.81,1,1
2024-04-18 03:34:26:31,공격,성공,1,293,181,210,210,1,75.3571,1,1
2024-04-18 03:34:26:70,공격,실패,1,292,211,240,240,1,68.574961,1,1
2024-04-18 03:34:27:13,공격,다시하기,0,292,211,240,240,1,100,1,1
2024-04-18 03:34:27:37,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:34:27:61,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:34:27:80,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:34:28:00,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 03:34:28:41,공격,성공,2,297,61,90,90,1,91,1,1
