시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 13:41:03:13,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 13:41:06:93,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 13:41:07:81,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 13:41:08:83,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-17 13:41:09:68,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-17 13:41:10:43,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-17 13:41:11:11,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-17 13:41:11:78,공격,성공,2,295,121,150,150,1,75.3571,1,1
2024-04-17 13:41:12:52,공격,성공,2,294,151,180,180,1,68.574961,1,1
2024-04-17 13:41:13:51,공격,성공,2,293,181,210,210,1,62.40321451,1,1
2024-04-17 13:41:14:05,공격,실패,2,292,211,240,240,1,56.7869252041,1,1
2024-04-17 13:41:14:78,공격,성공,1,292,211,240,240,1,100,1,1
2024-04-17 13:41:15:00,공격,성공,1,291,241,270,270,1,91,1,1
2024-04-17 13:41:15:26,공격,성공,1,290,271,300,300,1,82.81,1,1
2024-04-17 13:41:15:51,공격,성공,1,289,301,330,330,1,75.3571,1,1
2024-04-17 13:41:15:77,공격,성공,1,288,331,360,360,1,68.574961,1,1
2024-04-17 13:41:16:07,공격,실패,1,287,361,390,390,1,62.40321451,1,1
2024-04-17 13:41:16:45,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-17 13:41:16:78,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 13:41:16:96,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 13:41:17:16,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 13:41:17:35,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-17 13:41:17:76,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-17 13:41:17:95,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-17 13:41:18:32,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-17 13:41:18:53,공격,성공,2,294,151,180,180,1,75.3571,1,1
2024-04-17 13:41:18:85,공격,성공,2,293,181,210,210,1,68.574961,1,1
2024-04-17 13:41:19:15,공격,성공,2,292,211,240,240,1,62.40321451,1,1
2024-04-17 13:41:19:30,공격,실패,2,291,241,270,270,1,56.7869252041,1,1
2024-04-17 13:41:20:37,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-17 13:41:20:54,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-17 13:41:20:77,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-17 13:41:20:96,공격,성공,1,288,331,360,360,1,75.3571,1,1
2024-04-17 13:41:21:23,공격,성공,1,287,361,390,390,1,68.574961,1,1
2024-04-17 13:41:21:44,공격,실패,1,286,391,420,420,1,62.40321451,1,1
2024-04-17 13:41:22:53,공격,다시하기,0,286,391,420,420,1,100,1,1
