시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 01:59:13:97,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 01:59:15:51,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 01:59:15:91,공격,실패,3,299,1,30,30,1,91,1,1
2024-04-18 01:59:16:35,공격,성공,2,299,1,30,30,1,100,1,1
2024-04-18 01:59:16:77,공격,성공,2,298,31,60,60,1,91,1,1
2024-04-18 01:59:17:19,공격,성공,2,297,61,90,90,1,82.81,1,1
2024-04-18 01:59:17:59,공격,성공,2,296,91,120,120,1,75.3571,1,1
2024-04-18 01:59:18:06,공격,성공,2,295,121,150,150,1,68.574961,1,1
2024-04-18 01:59:18:48,공격,성공,2,294,151,180,180,1,62.40321451,1,1
2024-04-18 01:59:18:96,공격,성공,2,293,181,210,210,1,56.7869252041,1,1
2024-04-18 01:59:19:47,공격,성공,2,292,211,240,240,1,51.676101935731,1,1
2024-04-18 01:59:19:90,공격,실패,2,291,241,270,270,1,47.0252527615152,1,1
2024-04-18 01:59:20:32,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-18 01:59:20:79,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-18 01:59:21:25,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-18 01:59:21:82,공격,성공,1,288,331,360,360,1,75.3571,1,1
2024-04-18 01:59:22:50,공격,성공,1,287,361,390,390,1,68.574961,1,1
2024-04-18 01:59:23:19,공격,성공,1,286,391,420,420,1,62.40321451,1,1
2024-04-18 01:59:23:92,공격,성공,1,285,421,450,450,1,56.7869252041,1,1
2024-04-18 01:59:24:60,공격,성공,1,284,451,480,480,1,51.676101935731,1,1
2024-04-18 01:59:27:62,정확도 강화,성공,1,283,481,510,510,1,47.0252527615152,1,1
2024-04-18 01:59:27:77,정확도 강화,성공,1,283,481,495,510,1,52.0252527615152,1,2
2024-04-18 01:59:27:92,정확도 강화,성공,1,283,481,472,510,1,58.0252527615152,1,3
2024-04-18 01:59:28:08,정확도 강화,성공,1,283,481,437,510,1,65.0252527615152,1,4
2024-04-18 01:59:28:21,정확도 강화,성공,1,283,481,386,510,1,73.0252527615152,1,5
2024-04-18 01:59:29:50,공격력 강화,성공,1,283,481,315,510,1,82.0252527615152,1,6
2024-04-18 01:59:29:67,공격력 강화,성공,1,283,481,295,510,2,82.0252527615152,2,6
2024-04-18 01:59:29:82,공격력 강화,성공,1,283,481,265,510,8,82.0252527615152,3,6
2024-04-18 01:59:30:21,정확도 강화,성공,1,283,481,220,510,15,82.0252527615152,4,6
2024-04-18 01:59:30:60,정확도 강화,성공,1,283,481,125,510,15,92.0252527615152,4,7
2024-04-18 01:59:32:63,공격,성공,1,283,481,2,510,15,103.025252761515,4,8
2024-04-18 01:59:33:39,공격,성공,1,268,17,32,540,15,93.7529800129789,4,8
2024-04-18 01:59:34:15,공격,성공,1,253,47,62,570,15,85.3152118118108,4,8
2024-04-18 01:59:34:91,공격,성공,1,238,77,92,600,15,77.6368427487478,4,8
2024-04-18 01:59:35:70,공격,실패,1,223,107,122,630,15,70.6495269013605,4,8
