시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 01:56:40:29,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 01:56:42:58,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 01:56:42:81,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 01:56:42:96,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 01:56:43:11,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 01:56:43:25,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-04-18 01:56:43:38,공격,성공,2,296,91,120,120,1,100,1,1
2024-04-18 01:56:43:54,공격,성공,2,295,121,150,150,1,91,1,1
2024-04-18 01:56:43:70,공격,성공,2,294,151,180,180,1,82.81,1,1
2024-04-18 01:56:43:85,공격,성공,2,293,181,210,210,1,75.3571,1,1
2024-04-18 01:56:44:00,공격,성공,2,292,211,240,240,1,68.574961,1,1
2024-04-18 01:56:44:15,공격,성공,2,291,241,270,270,1,62.40321451,1,1
2024-04-18 01:56:44:32,공격,성공,2,290,271,300,300,1,56.7869252041,1,1
2024-04-18 01:56:44:45,공격,성공,2,289,301,330,330,1,51.676101935731,1,1
2024-04-18 01:56:44:58,공격,성공,2,288,331,360,360,1,47.0252527615152,1,1
