시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 22:47:55:66,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 22:47:58:83,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 22:48:00:73,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 22:48:02:03,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 22:48:05:30,공격력 강화,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-17 22:48:06:02,공격력 강화,성공,3,297,61,70,90,2,75.3571,2,1
2024-04-17 22:48:08:11,정확도 강화,성공,3,297,61,40,90,8,75.3571,3,1
2024-04-17 22:48:08:94,정확도 강화,성공,3,297,61,25,90,8,80.3571,3,2
2024-04-17 22:48:14:19,공격,성공,3,297,61,2,90,8,86.3571,3,3
2024-04-17 22:48:21:06,공격,실패,3,289,10,32,120,8,78.584961,3,3
2024-04-17 22:48:27:83,공격,성공,2,289,10,32,120,8,100,3,3
2024-04-17 22:48:28:56,공격,성공,2,281,40,62,150,8,91,3,3
2024-04-17 22:48:29:19,공격,성공,2,273,70,92,180,8,82.81,3,3
2024-04-17 22:48:30:27,공격,성공,2,265,100,122,210,8,75.3571,3,3
2024-04-17 22:48:34:34,공격,실패,2,257,130,152,240,8,68.574961,3,3
2024-04-17 22:48:37:98,정확도 강화,성공,1,257,130,152,240,8,100,3,3
2024-04-17 22:48:39:05,정확도 강화,성공,1,257,130,117,240,8,107,3,4
2024-04-17 22:48:40:32,공격력 강화,성공,1,257,130,66,240,8,115,3,5
2024-04-17 22:48:41:65,공격,성공,1,257,130,21,240,15,115,4,5
2024-04-17 22:48:42:68,공격,성공,1,242,36,51,270,15,104.65,4,5
2024-04-17 22:48:44:54,정확도 강화,성공,1,227,66,81,300,15,95.2315,4,5
2024-04-17 22:48:48:03,공격,성공,1,227,66,10,300,15,104.2315,4,6
2024-04-17 22:48:53:77,공격,성공,1,212,25,40,330,15,94.850665,4,6
2024-04-17 22:48:56:35,공격,성공,1,197,55,70,360,15,86.31410515,4,6
2024-04-17 22:48:59:97,공격,실패,1,182,85,100,390,15,78.5458356865,4,6
2024-04-17 22:49:04:48,공격,다시하기,0,182,85,100,390,15,100,4,6
2024-04-17 22:49:05:39,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 22:49:05:57,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 22:49:05:76,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-17 22:49:05:99,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-17 22:49:06:55,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-17 22:49:06:77,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-17 22:49:07:01,공격,성공,2,295,121,150,150,1,75.3571,1,1
2024-04-17 22:49:08:15,정확도 강화,성공,2,294,151,180,180,1,68.574961,1,1
2024-04-17 22:49:08:32,정확도 강화,성공,2,294,151,165,180,1,73.574961,1,2
2024-04-17 22:49:08:50,정확도 강화,성공,2,294,151,142,180,1,79.574961,1,3
2024-04-17 22:49:08:66,정확도 강화,성공,2,294,151,107,180,1,86.574961,1,4
2024-04-17 22:49:08:89,정확도 강화,실패,2,294,151,56,180,1,94.574961,1,5
2024-04-17 22:49:09:88,공격,성공,2,294,151,56,180,1,94.574961,1,5
2024-04-17 22:49:10:48,공격,성공,2,293,57,86,210,1,86.06321451,1,5
2024-04-17 22:49:11:21,공격력 강화,성공,2,292,87,116,240,1,78.3175252041,1,5
2024-04-17 22:49:12:35,공격,성공,2,292,87,96,240,2,78.3175252041,2,5
2024-04-17 22:49:12:89,공격력 강화,성공,2,290,98,126,270,2,71.268947935731,2,5
2024-04-17 22:49:13:23,공격력 강화,성공,2,290,98,96,270,8,71.268947935731,3,5
2024-04-17 22:49:13:63,공격력 강화,실패,2,290,98,51,270,15,71.268947935731,4,5
2024-04-17 22:49:17:98,공격,성공,2,290,98,51,270,15,71.268947935731,4,5
2024-04-17 22:49:18:94,종료,게임 종료,2,275,66,81,300,15,64.8547426215152,4,5
2024-04-17 22:49:24:77,공격,성공,2,275,66,81,300,15,64.8547426215152,4,5
2024-04-17 22:49:25:34,공격,성공,2,260,96,111,330,15,59.0178157855788,4,5
2024-04-17 22:49:25:80,공격,실패,2,245,126,141,360,15,53.7062123648768,4,5
2024-04-17 22:49:26:74,공격,성공,1,245,126,141,360,15,100,4,5
2024-04-17 22:49:27:53,공격,성공,1,230,156,171,390,15,91,4,5
2024-04-17 22:49:28:06,공격,성공,1,215,186,201,420,15,82.81,4,5
2024-04-17 22:49:33:19,공격,성공,1,200,216,231,450,15,75.3571,4,5
2024-04-17 22:49:34:04,공격,실패,1,185,246,261,480,15,68.574961,4,5
