시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 22:49:34:77,공격,다시하기,0,185,246,261,480,15,100,4,5
2024-04-17 22:49:35:18,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 22:49:35:34,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 22:49:35:52,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 22:49:35:70,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-17 22:49:35:91,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-17 22:49:36:28,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-17 22:49:36:45,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-17 22:49:36:66,공격,성공,2,294,151,180,180,1,75.3571,1,1
2024-04-17 22:49:36:99,공격,성공,2,293,181,210,210,1,68.574961,1,1
2024-04-17 22:49:37:32,공격,성공,2,292,211,240,240,1,62.40321451,1,1
2024-04-17 22:49:37:65,공격,실패,2,291,241,270,270,1,56.7869252041,1,1
2024-04-17 22:49:37:99,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-17 22:49:38:34,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-17 22:49:38:69,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-17 22:49:39:02,공격,성공,1,288,331,360,360,1,75.3571,1,1
2024-04-17 22:49:39:38,공격,성공,1,287,361,390,390,1,68.574961,1,1
2024-04-17 22:49:39:74,공격,성공,1,286,391,420,420,1,62.40321451,1,1
2024-04-17 22:49:40:09,공격,성공,1,285,421,450,450,1,56.7869252041,1,1
2024-04-17 22:49:40:63,공격,실패,1,284,451,480,480,1,51.676101935731,1,1
