시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 01:01:26:47,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 01:01:29:90,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:01:30:31,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:01:30:72,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:01:31:03,공격력 강화,실패,3,300,0,0,0,1,100,1,1
2024-04-18 01:01:31:55,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 01:01:32:09,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 01:01:33:00,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 01:01:33:92,공격력 강화,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 01:01:34:36,공격력 강화,성공,3,297,61,70,90,2,75.3571,2,1
2024-04-18 01:01:34:83,공격력 강화,실패,3,297,61,40,90,8,75.3571,3,1
2024-04-18 01:01:35:29,공격력 강화,실패,3,297,61,40,90,8,75.3571,3,1
