시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:33:18:99,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:33:19:75,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:33:20:33,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:33:20:68,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:33:20:97,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:33:21:17,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:33:21:36,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:33:21:54,공격,실패,3,294,151,180,180,1,56.7869252041,1,1
2024-04-18 02:33:21:72,공격,성공,2,294,151,180,180,1,100,1,1
2024-04-18 02:33:21:90,공격,성공,2,293,181,210,210,1,91,1,1
2024-04-18 02:33:22:12,공격,성공,2,292,211,240,240,1,82.81,1,1
2024-04-18 02:33:22:36,공격,실패,2,291,241,270,270,1,75.3571,1,1
2024-04-18 02:33:22:75,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-18 02:33:23:19,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-18 02:33:23:60,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-18 02:33:24:00,공격,성공,1,288,331,360,360,1,75.3571,1,1
2024-04-18 02:33:24:39,공격,성공,1,287,361,390,390,1,68.574961,1,1
2024-04-18 02:33:24:77,공격,실패,1,286,391,420,420,1,62.40321451,1,1
2024-04-18 02:33:33:54,공격,다시하기,0,286,391,420,420,1,100,1,1
