시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-16 23:52:59:89,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-16 23:53:02:01,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:53:02:16,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-16 23:53:02:29,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-16 23:53:02:44,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-16 23:53:02:54,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-16 23:53:02:73,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-16 23:53:02:82,공격,성공,3,294,151,180,180,1,56.7869252041,1,1
2024-04-16 23:53:02:91,공격,실패,3,293,181,210,210,1,51.676101935731,1,1
2024-04-16 23:53:02:98,공격,성공,2,293,181,210,210,1,100,1,1
2024-04-16 23:53:03:08,공격,성공,2,292,211,240,240,1,91,1,1
2024-04-16 23:53:03:22,공격,성공,2,291,241,270,270,1,82.81,1,1
2024-04-16 23:53:03:67,공격,성공,2,290,271,300,300,1,75.3571,1,1
2024-04-16 23:53:03:77,공격,실패,2,289,301,330,330,1,68.574961,1,1
2024-04-16 23:53:03:86,공격,성공,1,289,301,330,330,1,100,1,1
2024-04-16 23:53:03:99,공격,성공,1,288,331,360,360,1,91,1,1
2024-04-16 23:53:04:12,공격,실패,1,287,361,390,390,1,82.81,1,1
2024-04-16 23:53:04:20,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-16 23:53:04:30,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-16 23:53:06:05,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-16 23:53:06:81,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-16 23:53:07:51,공격,다시하기,0,287,361,390,390,1,100,1,1
2024-04-16 23:53:08:65,공격,다시하기,0,287,361,390,390,1,100,1,1
