현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 18:06:15:14,게임 실행,게임 시작,0,1000,0,0,0
2024-04-16 18:06:20:33,강화,강화 성공,0,990,10,100,100
2024-04-16 18:06:20:48,강화,강화 성공,1,975,15,180,93
2024-04-16 18:06:20:63,강화,강화 성공,2,953,22,324,86
2024-04-16 18:06:20:78,강화,강화 성공,3,919,34,583,80
2024-04-16 18:06:20:93,강화,강화 성공,4,868,51,1050,75
2024-04-16 18:06:21:07,강화,강화 성공,5,792,76,1890,70
2024-04-16 18:06:21:21,강화,강화 성공,6,678,114,3401,65
2024-04-16 18:06:21:36,강화,강화 성공,7,507,171,6122,60
2024-04-16 18:06:21:51,강화,강화 성공,8,251,256,11020,56
2024-04-16 18:06:21:67,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:21:82,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:21:97,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:13,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:28,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:42,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:58,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:73,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:22:88,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:04,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:20,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:36,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:50,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:66,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:83,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:23:98,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:15,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:32,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:50,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:65,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:80,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:24:97,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:25:14,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:25:31,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:25:48,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:25:68,강화,소지금 부족,9,251,384,19836,52
2024-04-16 18:06:25:88,강화,소지금 부족,9,251,384,19836,52
