시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:36:08:39,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:36:10:61,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:36:11:14,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:36:11:63,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:36:12:13,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:36:12:64,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:36:13:11,공격,실패,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:36:13:62,공격,성공,2,295,121,150,150,1,100,1,1
2024-04-18 02:36:14:17,공격,성공,2,294,151,180,180,1,91,1,1
2024-04-18 02:36:14:69,공격,성공,2,293,181,210,210,1,82.81,1,1
2024-04-18 02:36:15:24,공격,실패,2,292,211,240,240,1,75.3571,1,1
2024-04-18 02:36:15:71,공격,성공,1,292,211,240,240,1,100,1,1
2024-04-18 02:36:16:28,공격,성공,1,291,241,270,270,1,91,1,1
2024-04-18 02:36:16:85,공격,실패,1,290,271,300,300,1,82.81,1,1
2024-04-18 02:36:17:33,공격,다시하기,0,290,271,300,300,1,100,1,1
