시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 03:09:31:46,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 03:09:31:96,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:09:32:32,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:09:32:68,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:09:33:03,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 03:09:33:50,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-18 03:09:33:93,공격,실패,2,296,91,120,120,1,82.81,1,1
2024-04-18 03:09:34:26,공격,성공,1,296,91,120,120,1,100,1,1
2024-04-18 03:09:34:71,공격,실패,1,295,121,150,150,1,91,1,1
2024-04-18 03:09:35:21,공격,다시하기,0,295,121,150,150,1,100,1,1
2024-04-18 03:09:35:49,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:09:35:86,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:09:36:27,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:09:36:69,공격,성공,3,297,61,90,90,1,75.3571,1,1
