시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-05-08 20:11:49:04,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-05-08 20:11:59:29,공격,성공,3,300,0,0,0,1,100,1,1
2024-05-08 20:11:59:49,공격,성공,3,299,1,30,30,1,91,1,1
2024-05-08 20:11:59:63,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-05-08 20:11:59:79,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-05-08 20:11:59:93,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-05-08 20:12:00:07,공격,성공,2,296,91,120,120,1,100,1,1
2024-05-08 20:12:00:21,공격,실패,2,295,121,150,150,1,91,1,1
2024-05-08 20:12:00:38,공격,성공,1,295,121,150,150,1,100,1,1
2024-05-08 20:12:00:53,공격,성공,1,294,151,180,180,1,91,1,1
2024-05-08 20:12:01:45,공격력 강화,성공,1,293,181,210,210,1,82.81,1,1
2024-05-08 20:12:01:80,공격력 강화,성공,1,293,181,190,210,2,82.81,2,1
2024-05-08 20:12:02:30,정확도 강화,성공,1,293,181,160,210,8,82.81,3,1
2024-05-08 20:12:02:49,정확도 강화,성공,1,293,181,145,210,8,87.81,3,2
2024-05-08 20:12:02:67,정확도 강화,성공,1,293,181,122,210,8,93.81,3,3
2024-05-08 20:12:04:00,공격,성공,1,293,181,87,210,8,100.81,3,4
2024-05-08 20:12:04:20,공격,성공,1,285,95,117,240,8,91.7371,3,4
2024-05-08 20:12:04:38,공격,실패,1,277,125,147,270,8,83.480761,3,4
