시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 00:33:26:47,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 00:33:26:98,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 00:33:27:08,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 00:33:27:24,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 00:33:27:65,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-17 00:33:27:82,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-17 00:33:28:08,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-17 00:33:28:41,공격,실패,3,294,151,180,180,1,56.7869252041,1,1
2024-04-17 00:33:28:57,공격,성공,2,294,151,180,180,1,100,1,1
2024-04-17 00:33:28:89,공격,성공,2,293,181,210,210,1,91,1,1
2024-04-17 00:33:29:07,공격,성공,2,292,211,240,240,1,82.81,1,1
2024-04-17 00:33:29:27,공격,성공,2,291,241,270,270,1,75.3571,1,1
2024-04-17 00:33:29:49,공격,성공,2,290,271,300,300,1,68.574961,1,1
2024-04-17 00:33:29:66,공격,성공,2,289,301,330,330,1,62.40321451,1,1
2024-04-17 00:33:29:86,공격,실패,2,288,331,360,360,1,56.7869252041,1,1
2024-04-17 00:33:30:06,공격,성공,1,288,331,360,360,1,100,1,1
2024-04-17 00:33:30:29,공격,성공,1,287,361,390,390,1,91,1,1
2024-04-17 00:33:30:46,공격,성공,1,286,391,420,420,1,82.81,1,1
2024-04-17 00:33:30:64,공격,성공,1,285,421,450,450,1,75.3571,1,1
2024-04-17 00:33:30:81,공격,성공,1,284,451,480,480,1,68.574961,1,1
2024-04-17 00:33:30:99,공격,실패,1,283,481,510,510,1,62.40321451,1,1
2024-04-17 00:33:31:16,공격,다시하기,0,283,481,510,510,1,100,1,1
2024-04-17 00:33:31:68,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 00:33:31:85,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 00:33:32:05,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-17 00:33:32:54,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-17 00:33:32:71,공격,실패,2,297,61,90,90,1,91,1,1
2024-04-17 00:33:33:13,공격,성공,1,297,61,90,90,1,100,1,1
2024-04-17 00:33:33:29,공격,성공,1,296,91,120,120,1,91,1,1
2024-04-17 00:33:33:72,공격,성공,1,295,121,150,150,1,82.81,1,1
2024-04-17 00:33:34:04,공격,실패,1,294,151,180,180,1,75.3571,1,1
