시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:06:57:75,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:07:01:80,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:07:02:28,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:07:02:65,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:07:03:07,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 02:07:03:52,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-18 02:07:03:95,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-18 02:07:04:37,공격,성공,2,295,121,150,150,1,75.3571,1,1
2024-04-18 02:07:04:96,공격,성공,2,294,151,180,180,1,68.574961,1,1
2024-04-18 02:07:05:48,공격,성공,2,293,181,210,210,1,62.40321451,1,1
2024-04-18 02:07:05:94,공격,실패,2,292,211,240,240,1,56.7869252041,1,1
2024-04-18 02:07:06:33,공격,성공,1,292,211,240,240,1,100,1,1
2024-04-18 02:07:06:84,공격,성공,1,291,241,270,270,1,91,1,1
2024-04-18 02:07:07:35,공격,성공,1,290,271,300,300,1,82.81,1,1
2024-04-18 02:07:07:86,공격,성공,1,289,301,330,330,1,75.3571,1,1
2024-04-18 02:07:08:32,공격,실패,1,288,331,360,360,1,68.574961,1,1
2024-04-18 02:07:09:12,공격,다시하기,0,288,331,360,360,1,100,1,1
