시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 00:40:05:82,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 00:40:10:69,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 00:40:11:98,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 00:40:12:57,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 00:40:13:23,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-17 00:40:14:05,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-17 00:40:14:43,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-17 00:40:15:49,정확도 강화,성공,2,295,121,150,150,1,82.81,1,1
2024-04-17 00:40:15:95,정확도 강화,성공,2,295,121,135,150,1,87.81,1,2
2024-04-17 00:40:16:39,정확도 강화,성공,2,295,121,112,150,1,93.81,1,3
2024-04-17 00:40:19:78,정확도 강화,성공,2,295,121,77,150,1,100.81,1,4
2024-04-17 00:40:20:26,정확도 강화,실패,2,295,121,26,150,1,108.81,1,5
2024-04-17 00:40:21:57,공격,성공,2,295,121,26,150,1,108.81,1,5
2024-04-17 00:40:23:54,공격,성공,2,294,27,56,180,1,99.0171,1,5
2024-04-17 00:40:23:98,공격,성공,2,293,57,86,210,1,90.105561,1,5
2024-04-17 00:40:24:41,공격,성공,2,292,87,116,240,1,81.99606051,1,5
2024-04-17 00:40:24:80,공격,성공,2,291,117,146,270,1,74.6164150641,1,5
2024-04-17 00:40:25:48,정확도 강화,성공,2,290,147,176,300,1,67.900937708331,1,5
2024-04-17 00:40:26:38,정확도 강화,성공,2,290,147,105,300,1,76.900937708331,1,6
