시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:35:00:55,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:35:02:05,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:35:02:46,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:35:02:96,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:35:03:43,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:35:03:82,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:35:04:28,공격,실패,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:35:04:70,공격,성공,2,295,121,150,150,1,100,1,1
2024-04-18 02:35:05:18,공격,실패,2,294,151,180,180,1,91,1,1
2024-04-18 02:35:05:59,공격,성공,1,294,151,180,180,1,100,1,1
2024-04-18 02:35:06:16,공격,성공,1,293,181,210,210,1,91,1,1
2024-04-18 02:35:06:68,공격,성공,1,292,211,240,240,1,82.81,1,1
2024-04-18 02:35:07:20,공격,성공,1,291,241,270,270,1,75.3571,1,1
2024-04-18 02:35:07:76,공격,실패,1,290,271,300,300,1,68.574961,1,1
2024-04-18 02:35:08:25,공격,다시하기,0,290,271,300,300,1,100,1,1
2024-04-18 02:35:08:64,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:35:09:12,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:35:09:60,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:35:10:10,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:35:10:58,공격,실패,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:35:11:00,공격,성공,2,296,91,120,120,1,100,1,1
2024-04-18 02:35:11:48,공격,성공,2,295,121,150,150,1,91,1,1
2024-04-18 02:35:11:99,공격,성공,2,294,151,180,180,1,82.81,1,1
2024-04-18 02:35:12:49,공격,실패,2,293,181,210,210,1,75.3571,1,1
2024-04-18 02:35:12:95,공격,성공,1,293,181,210,210,1,100,1,1
2024-04-18 02:35:13:45,공격,성공,1,292,211,240,240,1,91,1,1
2024-04-18 02:35:13:93,공격,성공,1,291,241,270,270,1,82.81,1,1
