시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-05-08 20:17:48:02,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-05-08 20:17:56:95,공격,성공,3,300,0,0,0,1,100,1,1
2024-05-08 20:17:57:09,공격,성공,3,299,1,30,30,1,91,1,1
2024-05-08 20:17:57:25,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-05-08 20:17:57:53,공격,성공,2,298,31,60,60,1,100,1,1
2024-05-08 20:17:57:68,공격,성공,2,297,61,90,90,1,91,1,1
2024-05-08 20:17:57:83,공격,실패,2,296,91,120,120,1,82.81,1,1
2024-05-08 20:18:04:88,공격,성공,1,296,91,120,120,1,100,1,1
2024-05-08 20:18:05:11,공격,성공,1,295,121,150,150,1,91,1,1
2024-05-08 20:18:05:26,공격,성공,1,294,151,180,180,1,82.81,1,1
2024-05-08 20:18:05:71,공격력 강화,성공,1,293,181,210,210,1,75.3571,1,1
2024-05-08 20:18:05:88,공격력 강화,성공,1,293,181,190,210,2,75.3571,2,1
2024-05-08 20:18:06:23,정확도 강화,성공,1,293,181,160,210,8,75.3571,3,1
2024-05-08 20:18:06:37,정확도 강화,성공,1,293,181,145,210,8,80.3571,3,2
2024-05-08 20:18:06:55,정확도 강화,성공,1,293,181,122,210,8,86.3571,3,3
2024-05-08 20:18:07:56,공격,성공,1,293,181,87,210,8,93.3571,3,4
2024-05-08 20:18:07:77,공격,성공,1,285,95,117,240,8,84.954961,3,4
2024-05-08 20:18:07:94,공격,성공,1,277,125,147,270,8,77.30901451,3,4
2024-05-08 20:18:08:12,공격,성공,1,269,155,177,300,8,70.3512032041,3,4
2024-05-08 20:18:08:31,공격,성공,1,261,185,207,330,8,64.019594915731,3,4
2024-05-08 20:18:08:50,공격,성공,1,253,215,237,360,8,58.2578313733152,3,4
2024-05-08 20:18:08:68,공격,성공,1,245,245,267,390,8,53.0146265497169,3,4
2024-05-08 20:18:08:89,공격,실패,1,237,275,297,420,8,48.2433101602423,3,4
2024-05-08 20:18:09:09,공격,다시하기,0,237,275,297,420,8,100,3,4
