시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-16 23:59:45:54,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-16 23:59:46:47,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:59:46:77,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-16 23:59:47:03,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-16 23:59:47:17,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-16 23:59:47:32,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-16 23:59:47:47,공격,실패,2,296,91,120,120,1,82.81,1,1
2024-04-16 23:59:47:59,공격,성공,1,296,91,120,120,1,100,1,1
2024-04-16 23:59:47:72,공격,실패,1,295,121,150,150,1,91,1,1
2024-04-16 23:59:52:07,공격,다시하기,0,295,121,150,150,1,100,1,1
2024-04-16 23:59:52:65,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-16 23:59:53:62,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-16 23:59:54:20,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-16 23:59:54:64,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-16 23:59:58:32,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-16 23:59:58:94,공격력 강화,성공,2,296,91,120,120,1,91,1,1
2024-04-16 23:59:59:07,공격력 강화,성공,2,296,91,100,120,2,91,2,1
2024-04-16 23:59:59:20,공격력 강화,성공,2,296,91,70,120,8,91,3,1
2024-04-16 23:59:59:32,공격력 강화,실패,2,296,91,25,120,15,91,4,1
2024-04-16 23:59:59:45,공격력 강화,실패,2,296,91,25,120,15,91,4,1
2024-04-16 23:59:59:57,공격력 강화,실패,2,296,91,25,120,15,91,4,1
2024-04-17 00:00:00:03,공격,성공,2,296,91,25,120,15,91,4,1
2024-04-17 00:00:00:32,공격,성공,2,281,40,55,150,15,82.81,4,1
2024-04-17 00:00:00:45,공격,성공,2,266,70,85,180,15,75.3571,4,1
2024-04-17 00:00:00:58,공격,실패,2,251,100,115,210,15,68.574961,4,1
