현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-03 18:41:41:97,게임 실행,게임 시작,1,1000,0,0,0
2024-04-03 18:41:43:19,강화,강화 성공,1,990,10,100,100
2024-04-03 18:41:43:82,종료,게임 종료,2,990,15,180,93
